time,cpu_usage,memory_usage,cpu_interrupts,cpu_calls,memory_used,memory_free,bytes_sent,bytes_received,disk_usage,gpu_utilization,gpu_memory,gpu_temperature,power_consumption
2024-09-13 14:10:46.972301,7.1,91.8,610917650,427139800,7542251520,672808960,11654941,145481973,84.6,,,,
2024-09-13 14:11:03.635977,7.8,92.7,611332363,427445432,7611387904,603672576,11674245,145510847,84.6,,,,
2024-09-13 14:11:19.274648,7.0,93.0,611735614,427743922,7642349568,572710912,11674692,145512097,84.6,,,,
2024-09-13 14:11:34.940689,8.8,94.6,612197940,428078801,7772708864,442351616,11748942,145914955,84.6,,,,
2024-09-13 14:11:51.636467,11.4,93.8,612748293,428474960,7702659072,512401408,11841505,147543694,84.6,,,,
2024-09-13 14:12:07.314210,9.7,94.2,613177691,428786221,7737511936,477548544,11885182,147591133,84.6,,,,
2024-09-13 14:12:22.973412,7.4,94.4,613566631,429071471,7756107776,458952704,11893025,147605167,84.6,,,,
2024-09-13 14:12:39.653414,8.9,94.3,613966876,429370602,7746760704,468299776,11920322,147643699,84.6,,,,
2024-09-13 14:12:55.359859,5.7,94.0,614249378,429589986,7726149632,488910848,11963470,147669432,84.6,,,,
2024-09-13 14:13:11.024738,8.7,94.7,614662728,429889298,7778082816,436977664,12029149,149670434,84.6,,,,
2024-09-13 14:13:27.703624,10.2,93.6,615068189,430181336,7689224192,525836288,12082928,150169899,84.6,,,,
2024-09-13 14:13:43.371495,12.8,94.6,615567337,430530101,7771234304,443826176,12125024,150214407,84.6,,,,
2024-09-13 14:13:59.011245,9.4,91.1,616013511,430857868,7480270848,734789632,12134731,150231771,84.6,,,,
2024-09-13 14:14:15.719890,9.4,90.4,616519735,431229602,7427158016,787902464,12203007,150290081,84.6,,,,
2024-09-13 14:14:31.444857,9.3,92.3,616933497,431535395,7579512832,635547648,12261808,152508459,84.6,,,,
2024-09-13 14:14:47.136828,9.2,90.2,617439831,431902688,7407083520,807976960,12301284,152547909,84.7,,,,
2024-09-13 14:15:02.904376,10.7,91.9,617977406,432287631,7551459328,663601152,12378026,154289389,84.7,,,,
2024-09-13 14:15:19.682872,9.6,89.2,618465798,432642535,7330938880,884121600,12418790,154497491,84.6,,,,
2024-09-13 14:15:35.367337,10.8,89.4,618897784,432942707,7340507136,874553344,12444724,154540256,84.6,,,,
2024-09-13 14:15:51.054811,6.7,90.2,619224322,433190728,7410130944,804929536,12519574,155039208,84.6,,,,
2024-09-13 14:16:07.788777,12.3,88.8,619731305,433543175,7295496192,919564288,12587028,156029064,84.6,,,,
2024-09-13 14:16:23.446504,7.8,89.7,620139002,433838132,7370182656,844877824,12601868,156045555,84.6,,,,
2024-09-13 14:16:39.122139,6.3,89.5,620493343,434114012,7353896960,861163520,12602344,156046637,84.6,,,,
2024-09-13 14:16:55.812223,6.3,90.3,620870521,434412613,7419187200,795873280,12611404,156056730,84.6,,,,
2024-09-13 14:17:11.473678,7.9,92.3,621280330,434714183,7585378304,629682176,12633638,156078491,84.6,,,,
2024-09-13 14:17:27.151235,8.5,92.3,621732703,435032931,7583707136,631353344,12660033,156113849,84.6,,,,
2024-09-13 14:17:42.995757,40.0,94.3,622548648,435544863,7745499136,469561344,12666373,156130924,84.6,,,,
2024-09-13 14:17:59.730451,11.5,92.8,622982438,435801919,7625277440,589783040,12675017,156143025,84.6,,,,
2024-09-13 14:18:15.425057,13.1,93.8,623530353,436073917,7702286336,512774144,12899154,157840232,84.6,,,,
2024-09-13 14:18:31.106533,9.6,91.5,624101182,436401298,7516815360,698245120,13072196,163629067,84.6,,,,
2024-09-13 14:18:47.818291,9.4,87.5,624538548,436669735,7185666048,1029394432,13112574,163638349,84.6,,,,
2024-09-13 14:19:03.509813,8.0,85.7,625001706,436970190,7043944448,1171116032,13153111,163694834,84.6,,,,
2024-09-13 14:19:19.192211,10.1,85.4,625474532,437280568,7019421696,1195638784,13412118,165726474,84.6,,,,
2024-09-13 14:19:35.866,7.3,84.5,625997612,437647858,6941257728,1273802752,13604174,175641904,84.6,,,,
2024-09-13 14:19:52.607274,7.1,85.7,626439252,437969810,7036416000,1178644480,13675093,177559448,84.6,,,,
2024-09-13 14:20:08.306842,5.7,85.4,626789333,438222945,7017287680,1197772800,13717237,177577463,84.6,,,,
2024-09-13 14:20:24.015643,5.1,86.7,627129083,438472903,7126044672,1089015808,13721512,177585073,84.6,,,,
2024-09-13 14:20:40.707259,4.0,85.4,627500923,438749204,7016538112,1198522368,13734083,177597716,84.6,,,,
2024-09-13 14:20:56.390384,4.9,86.8,627825355,438990599,7134523392,1080537088,13845278,178375737,84.6,,,,
2024-09-13 14:21:12.099004,6.2,89.0,628262294,439289837,7314190336,900870144,13947010,181707651,84.6,,,,
2024-09-13 14:21:28.832638,5.2,83.5,628709552,439588593,6856826880,1358233600,14006134,181738820,84.6,,,,
2024-09-13 14:21:44.530599,4.2,83.4,629018943,439813333,6854782976,1360277504,14015191,181746317,84.6,,,,
2024-09-13 14:22:00.214464,2.9,83.7,629346959,440059245,6876581888,1338478592,14033210,181763108,84.6,,,,
2024-09-13 14:22:15.909105,4.9,83.5,629743968,440336878,6857220096,1357840384,14146154,183547400,84.6,,,,
2024-09-13 14:22:32.622278,5.4,84.4,630176503,440654262,6935703552,1279356928,14236503,185928664,84.6,,,,
2024-09-13 14:22:48.329021,3.4,84.3,630504459,440896379,6926663680,1288396800,14237018,185929952,84.6,,,,
2024-09-13 14:23:04.037413,2.4,84.2,630792353,441106465,6920957952,1294102528,14243572,185938005,84.6,,,,
2024-09-13 14:23:20.733005,4.0,87.3,631154888,441365300,7168188416,1046872064,14271008,185966108,84.6,,,,
2024-09-13 14:23:36.391635,6.2,88.4,631567941,441643759,7264026624,951033856,14290578,185984076,84.7,,,,
2024-09-13 14:23:52.074540,7.3,85.3,632093260,442011353,7005790208,1209270272,14370858,186723541,84.7,,,,
2024-09-13 14:24:08.834952,4.9,84.7,632507364,442303141,6958632960,1256427520,14429250,187813270,84.6,,,,
2024-09-13 14:24:24.547932,4.8,81.2,632884531,442565322,6672326656,1542733824,14456503,187842831,84.6,,,,
2024-09-13 14:24:40.267490,2.2,81.3,633187947,442797574,6681001984,1534058496,14458397,187844741,84.6,,,,
2024-09-13 14:24:55.947892,2.8,81.5,633474207,443015592,6695165952,1519894528,14463505,187847895,84.6,,,,
2024-09-13 14:25:12.662770,2.1,81.6,633838427,443292051,6704709632,1510350848,14471634,187857354,84.6,,,,
2024-09-13 14:25:28.370623,2.8,81.6,634138456,443516249,6703595520,1511464960,14483429,187871573,84.6,,,,
2024-09-13 14:25:44.067850,2.6,81.8,634460698,443767362,6716657664,1498402816,14497260,187881050,84.6,,,,
2024-09-13 14:26:00.762663,3.1,80.6,634832342,444040027,6618320896,1596739584,14504906,187882944,84.6,,,,
2024-09-13 14:26:16.478939,3.4,81.3,635231187,444321186,6679130112,1535930368,14509302,187886001,84.6,,,,
2024-09-13 14:26:32.151183,3.6,83.5,635673098,444643458,6858928128,1356132352,14527237,187911945,84.6,,,,
2024-09-13 14:26:48.838212,9.0,86.9,636120292,444956291,7142866944,1072193536,14644996,189386371,84.6,,,,
2024-09-13 14:27:04.496761,3.2,84.3,636485677,445201998,6925836288,1289224192,14739505,190967858,84.6,,,,
2024-09-13 14:27:20.171420,4.3,85.1,636912559,445515274,6989066240,1225994240,14811753,191863252,84.6,,,,
2024-09-13 14:27:36.858133,6.5,85.6,637458484,445895873,7031746560,1183313920,17267167,193871900,84.6,,,,
2024-09-13 14:27:52.547737,2.0,84.7,637714421,446106783,6957400064,1257660416,22573448,193954086,84.7,,,,
2024-09-13 14:28:08.213364,4.4,89.5,638131519,446402960,7351132160,863928320,29761115,194084277,84.7,,,,
2024-09-13 14:28:24.884848,5.6,89.8,638530592,446692126,7375118336,839942144,37760293,194280249,84.7,,,,
2024-09-13 14:28:41.581124,7.0,93.1,638954339,446984204,7648718848,566341632,43802496,202807367,84.7,,,,
2024-09-13 14:28:57.252296,7.9,86.8,639412994,447300394,7128330240,1086730240,48179820,202930793,84.7,,,,
2024-09-13 14:29:12.956650,5.1,86.0,639776156,447555367,7066722304,1148338176,54628588,203800253,84.7,,,,
2024-09-13 14:29:29.676111,8.5,86.4,640274315,447878513,7097831424,1117229056,54788950,206150808,84.7,,,,
2024-09-13 14:29:45.338970,4.8,88.0,640571890,448093418,7227310080,987750400,54944595,206832432,84.7,,,,
2024-09-13 14:30:01.032355,4.5,90.1,640864097,448300913,7400419328,814641152,55099379,212516265,84.7,,,,
2024-09-13 14:30:17.757431,5.0,85.5,641175597,448524276,7027036160,1188024320,55137218,212557325,84.7,,,,
2024-09-13 14:30:33.449825,5.0,87.2,641452443,448728995,7161163776,1053896704,55211031,213628645,84.7,,,,
2024-09-13 14:30:49.174843,4.1,88.3,641716225,448929518,7251628032,963432448,55284699,214002445,84.7,,,,
2024-09-13 14:31:06.014602,9.4,91.3,642104001,449200816,7502958592,712101888,55364884,215866465,84.7,,,,
2024-09-13 14:31:22.814468,17.6,89.3,642544983,449464300,7338594304,876466176,55494306,216055166,84.7,,,,
2024-09-13 14:31:39.524317,10.2,90.4,642805632,449625346,7430123520,784936960,55590390,216966520,84.7,,,,
2024-09-13 14:31:55.269375,10.9,92.6,643138327,449822070,7604350976,610709504,55668940,218524691,84.7,,,,
2024-09-13 14:32:11.014817,10.3,89.6,643482322,450036038,7359889408,855171072,55701365,218555919,84.7,,,,
2024-09-13 14:32:27.691927,5.8,93.2,643855479,450295724,7658102784,556957696,55893701,221777033,84.7,,,,
2024-09-13 14:32:43.389978,13.9,94.4,644313138,450593448,7751401472,463659008,56036619,225457909,84.7,,,,
2024-09-13 14:32:59.670854,46.0,88.2,645021638,451012354,7247331328,967729152,56086276,225916608,84.7,,,,
2024-09-13 14:33:16.569478,7.3,90.4,645447453,451291226,7426682880,788377600,56155589,226147793,84.7,,,,
2024-09-13 14:33:32.258932,34.6,91.7,645888785,451574034,7534243840,680816640,56194730,226184839,84.7,,,,
2024-09-13 14:33:48.006658,26.3,93.7,646200550,451776073,7695568896,519491584,56252690,226405671,84.7,,,,
2024-09-13 14:34:04.714648,17.2,91.8,646661301,452041042,7539466240,675594240,56309311,228141832,84.7,,,,
2024-09-13 15:44:39.951720,5.6,85.5,745207119,520626063,7025881088,1189179392,79453032,523857746,83.4,,,,
2024-09-13 15:44:56.820679,7.2,87.9,745582359,520892265,7219146752,995913728,79462134,523859106,83.4,,,,
2024-09-13 15:45:12.440537,4.8,86.5,745843130,521098771,7108386816,1106673664,79467224,523868656,83.4,,,,
2024-09-13 15:45:28.044495,6.8,86.1,746103237,521316382,7075635200,1139425280,79468696,523869408,83.4,,,,
2024-09-13 15:45:44.674480,6.5,87.4,746338217,521498223,7180902400,1034158080,79477122,523879223,83.4,,,,
2024-09-13 15:46:00.341200,8.2,88.2,746528495,521612463,7242727424,972333056,79496701,523902758,83.4,,,,
2024-09-13 15:46:16.025787,13.7,89.3,746937587,521900499,7335243776,879816704,79530339,523925455,83.4,,,,
2024-09-13 15:46:32.784711,10.5,92.1,747255786,522107155,7562125312,652935168,79537907,523943531,83.4,,,,
2024-09-13 15:46:48.520903,7.9,88.0,747435308,522213174,7232802816,982257664,79544534,523952280,83.4,,,,
2024-09-13 15:47:04.256114,8.1,88.3,747639920,522331116,7254814720,960245760,79560040,523968338,83.4,,,,
2024-09-13 15:47:19.953400,6.9,87.9,747823859,522433464,7219212288,995848192,79568060,523971678,83.4,,,,
2024-09-13 15:47:36.671168,10.6,92.5,748183764,522640744,7596339200,618721280,79642064,524059674,83.4,,,,
2024-09-13 15:47:52.398671,12.3,91.6,748464407,522811741,7529062400,685998080,79757347,524333693,83.4,,,,
2024-09-13 15:48:08.107221,11.7,90.0,748695559,522948787,7397515264,817545216,79791917,524363103,83.4,,,,
2024-09-13 15:48:24.875859,11.8,91.1,748940222,523097303,7485972480,729088000,79812183,524389499,83.4,,,,
2024-09-13 15:48:41.810339,7.1,92.3,749170970,523238408,7583113216,631947264,79827644,524406106,83.4,,,,
2024-09-13 15:48:57.547609,23.0,93.5,749613700,523508794,7684542464,530518016,79850902,524445877,83.4,,,,
2024-09-13 15:49:13.408783,46.7,85.3,750145166,523843907,7008931840,1206128640,79903243,524512074,83.4,,,,
2024-09-13 15:49:29.205760,12.5,84.7,750416961,524003029,6955122688,1259937792,79921106,524514630,83.4,,,,
2024-09-13 15:49:45.902834,8.1,84.7,750667504,524150098,6956371968,1258688512,79935721,524518965,83.4,,,,
2024-09-13 15:50:02.621155,9.8,86.2,750867517,524271243,7079026688,1136033792,79952680,524530629,83.4,,,,
2024-09-13 15:50:18.346436,11.2,85.3,751077513,524397541,7007096832,1207963648,79967998,524540136,83.4,,,,
2024-09-13 15:50:34.082004,8.5,85.5,751267755,524510862,7023181824,1191878656,80032945,524568667,83.4,,,,
2024-09-13 15:50:50.818421,14.2,86.5,751682869,524768157,7102427136,1112633344,80116164,526965315,83.4,,,,
2024-09-13 15:51:06.512476,15.8,87.7,752055637,525000246,7207587840,1007472640,80226005,529134710,83.4,,,,
2024-09-13 15:51:22.217250,15.0,90.0,752327985,525166451,7396450304,818610176,80255297,529165441,83.4,,,,
2024-09-13 15:51:37.985580,12.7,88.4,752606247,525330820,7259254784,955805696,80274355,529182107,83.4,,,,
2024-09-13 15:51:54.720962,7.4,87.7,752846250,525468644,7206117376,1008943104,80277164,529183248,83.4,,,,
2024-09-13 15:52:10.368381,8.9,87.7,753128434,525631847,7204298752,1010761728,80310343,529231256,83.4,,,,
2024-09-13 15:52:26.087210,5.8,87.6,753334720,525750299,7199264768,1015795712,80340644,529265047,83.4,,,,
2024-09-13 15:52:42.824144,9.0,87.7,753542107,525867459,7205179392,1009881088,80404068,529380536,83.4,,,,
2024-09-13 15:52:59.598712,14.2,88.5,753836931,526043056,7273390080,941670400,80474774,529978743,83.4,,,,
2024-09-13 15:53:15.309637,10.9,87.4,754017771,526143398,7182184448,1032876032,80492658,530003892,83.4,,,,
2024-09-13 15:53:31.021098,10.2,87.3,754253121,526284758,7175036928,1040023552,80568004,531221092,83.4,,,,
2024-09-13 15:53:47.747187,14.2,87.1,754643691,526514458,7154106368,1060954112,80624965,531641418,83.4,,,,
2024-09-13 15:54:03.419936,9.9,89.9,754899181,526659626,7382446080,832614400,80649228,531664306,83.4,,,,
2024-09-13 15:54:19.195737,8.4,87.4,755024801,526730583,7176622080,1038438400,80697728,531711599,83.4,,,,
2024-09-13 15:54:34.939936,14.1,88.3,755292419,526891565,7252758528,962301952,80739430,533599329,83.4,,,,
2024-09-13 15:54:51.705921,16.8,87.2,755566922,527054512,7163629568,1051430912,80795106,533635298,83.4,,,,
